,0,1,2,3,4
227,Male,31,48,86,71
228,Male,32,41,76,53
229,Male,34,78,98,70
230,Male,19,72,76,45
231,Male,38,81,78,56
232,Female,34,89,103,70
233,Female,34,53,96,76
234,Male,30,73,105,75
235,Female,39,65,106,83
236,Male,25,86,81,55
237,Female,36,85,79,57
238,Female,25,56,81,66
239,Female,23,59,106,87
240,Female,20,87,63,34
241,Male,38,44,99,79
242,Female,22,51,67,50
243,Female,36,76,84,53
244,Male,27,67,69,48
245,Male,23,56,76,52
246,Female,23,41,67,51
247,Male,21,59,105,78
248,Male,27,91,116,89
249,Female,23,52,98,85
250,Female,30,63,101,82
251,Female,40,63,79,58
252,Female,23,42,71,46
253,Female,21,45,57,40
254,Male,22,89,114,83
255,Female,26,87,66,37
256,Female,26,76,68,36
257,Male,38,86,62,39
258,Female,31,86,95,61
259,Male,38,60,100,72
260,Female,24,91,103,78
261,Female,35,54,116,88
262,Female,36,54,73,48
263,Female,21,49,47,34
264,Female,37,87,116,89
265,Female,24,56,108,87
266,Female,37,40,58,44
267,Male,22,42,79,63
268,Female,30,57,64,48
269,Male,24,55,64,49
270,Female,27,90,76,51
271,Male,39,89,121,89
272,Female,39,51,71,50
273,Female,25,46,104,79
274,Female,38,78,69,41
275,Female,28,72,70,48
276,Male,23,74,75,52
277,Male,34,54,93,67
278,Male,20,84,79,58
279,Female,29,74,83,52
280,Female,24,93,122,88
281,Female,40,67,53,30
282,Male,21,87,107,74
283,Male,20,49,111,89
284,Female,25,74,110,85
285,Female,25,41,108,89
286,Male,19,51,73,60
287,Female,35,42,94,79
288,Male,29,94,75,47
289,Female,31,58,67,44
290,Male,19,85,60,36
291,Male,19,58,93,65
292,Male,22,48,68,44
293,Male,29,75,98,68
294,Male,32,46,61,47
295,Female,20,65,67,47
296,Male,36,86,107,85
297,Male,29,93,72,41
298,Female,28,64,76,56
299,Male,26,47,48,31
300,Female,26,42,86,65
301,Female,35,90,80,45
302,Female,25,67,67,43
303,Male,34,77,100,75
304,Male,29,94,93,66
305,Female,21,83,77,58
306,Male,24,63,68,40
307,Female,29,69,112,81
308,Male,22,77,102,70
309,Male,32,81,97,71
310,Male,21,61,97,74
311,Male,26,46,46,30
312,Male,34,59,106,78
313,Female,19,50,59,39
314,Male,24,86,109,74
315,Male,20,90,94,71
316,Female,31,86,71,37
317,Female,22,93,81,52
318,Female,36,59,95,74
319,Female,27,42,92,74
320,Male,25,56,67,46
321,Female,38,89,101,69
322,Female,31,66,71,48
323,Male,33,81,86,52
324,Male,31,77,79,57
325,Female,22,60,71,43
326,Female,25,65,74,51
327,Female,20,65,110,80
328,Female,24,87,103,77
329,Male,27,58,64,44
330,Male,34,70,105,77
331,Female,31,67,82,61
332,Male,26,84,99,70
333,Female,30,64,64,41
334,Male,24,72,49,32
335,Male,21,44,57,32
336,Female,26,85,102,82
337,Male,24,59,81,56
338,Female,26,87,72,44
339,Female,28,61,90,61
340,Male,26,53,56,36
341,Female,25,50,44,30
342,Female,40,50,78,52
343,Female,19,87,93,62
344,Male,33,80,56,33
345,Female,19,68,55,32
346,Male,23,74,79,58
347,Female,40,91,107,74
348,Male,29,41,86,70
349,Female,34,46,71,46
350,Male,24,76,81,57
351,Female,21,92,93,66
352,Female,32,90,73,41
353,Female,24,84,66,36
354,Male,35,49,105,82
355,Female,39,72,80,48
356,Male,35,62,74,57
357,Female,19,53,50,34
358,Female,29,50,78,60
359,Male,40,71,98,75
360,Male,40,68,119,89
361,Male,40,75,64,39
362,Male,40,42,64,42
363,Female,30,68,94,76
364,Female,32,42,69,57
365,Male,24,90,110,75
366,Female,38,75,92,68
367,Male,31,60,61,38
368,Male,35,67,65,34
369,Male,39,62,100,71
370,Female,25,56,74,59
371,Female,22,51,87,64
372,Female,35,73,90,66
373,Male,19,80,118,89
374,Male,35,85,83,48
375,Male,38,80,87,64
376,Female,22,52,57,32
377,Male,22,45,46,30
378,Female,23,57,77,59
379,Male,39,48,69,47
380,Male,29,50,89,66
381,Female,21,67,64,44
382,Female,26,57,101,84
383,Female,28,53,62,40
384,Female,29,73,112,85
385,Female,38,68,64,36
386,Female,24,50,51,32
387,Female,29,55,87,72
388,Male,26,60,105,86
389,Female,39,80,71,46
390,Female,33,86,101,74
391,Female,35,42,73,50
392,Male,36,49,88,70
393,Male,37,45,65,41
394,Male,37,62,105,88
395,Female,32,46,74,47
396,Female,26,91,94,63
397,Female,29,48,105,85
398,Male,35,59,86,62
399,Male,28,91,93,60
400,Female,37,67,107,85
401,Female,34,62,78,56
402,Female,36,64,86,59
403,Male,32,60,61,39
404,Male,27,52,97,83
405,Male,31,59,80,58
406,Female,31,51,63,44
407,Male,24,49,94,68
408,Male,31,57,88,66
409,Female,28,45,60,36
410,Female,34,70,109,89
411,Female,28,94,78,49
412,Male,20,47,104,86
413,Male,26,47,98,73
414,Male,30,61,80,51
415,Female,33,71,83,58
416,Female,32,72,92,70
417,Male,31,93,105,74
418,Male,22,76,85,63
419,Female,31,55,53,38
420,Female,31,87,108,79
421,Male,28,62,74,55
422,Male,31,73,79,59
423,Female,25,61,66,49
424,Male,22,48,73,47
425,Female,34,50,98,70
426,Female,24,60,75,54
427,Female,20,40,50,38
428,Female,39,70,108,88
429,Female,21,69,114,86
430,Male,23,88,108,81
431,Male,30,76,78,55
432,Female,21,55,87,68
433,Male,21,50,88,67
434,Male,36,81,102,77
435,Female,33,93,76,48
436,Female,29,60,53,35
437,Female,32,62,55,32
438,Female,23,40,71,52
439,Male,38,71,78,49
440,Male,31,53,60,36
441,Male,38,55,111,88
442,Female,36,52,82,56
443,Male,26,44,87,74
444,Female,27,54,59,45
445,Male,27,85,99,67
446,Male,28,89,89,60
447,Female,32,74,71,52
448,Female,31,64,59,37
449,Female,34,59,60,41
450,Male,27,93,104,79
451,Female,38,66,61,34
452,Male,27,78,105,80
453,Male,27,86,87,67
454,Female,36,61,82,52
455,Female,31,88,109,81
456,Female,21,94,76,52
457,Female,31,93,69,33
458,Female,29,50,81,55
459,Male,35,85,82,48
460,Male,36,64,57,39
461,Male,37,78,89,69
462,Female,19,88,89,61
463,Female,31,55,70,53
464,Female,29,83,86,61
465,Male,23,79,68,39
466,Female,38,83,93,72
467,Female,28,56,107,85
468,Male,30,56,111,86
469,Female,34,62,61,32
470,Male,39,90,110,78
471,Female,23,48,89,68
472,Male,33,87,94,62
473,Female,20,75,70,39
474,Male,37,42,91,72
475,Male,32,70,103,84
476,Female,21,53,67,45
477,Male,36,76,110,85
478,Male,22,57,76,51
479,Female,31,59,72,56
480,Male,31,67,78,53
481,Female,27,43,78,54
482,Male,32,87,100,70
483,Female,35,44,81,65
484,Male,30,42,106,82
485,Female,23,93,85,51
486,Male,39,62,65,42
487,Male,19,75,73,50
488,Male,39,63,75,52
489,Female,25,94,88,65
490,Female,26,56,91,68
491,Male,27,85,52,30
492,Male,34,89,109,82
493,Male,19,44,102,79
494,Male,27,70,101,84
495,Female,29,71,107,87
496,Female,30,88,110,78
497,Female,21,49,72,55
498,Female,21,80,103,74
499,Female,40,49,71,50
500,Male,28,85,101,78
501,Female,29,41,109,87
502,Female,23,87,118,86
503,Male,33,89,107,78
504,Female,37,75,112,87
505,Male,36,65,69,48
506,Female,36,77,56,30
507,Female,31,54,105,85
508,Male,30,78,73,52
509,Female,35,49,99,82
510,Female,20,63,96,70
511,Female,29,83,103,80
512,Male,28,66,85,62
513,Female,26,84,71,50
514,Female,32,52,80,60
515,Male,34,50,73,47
516,Male,25,41,44,31
517,Male,32,66,82,59
518,Male,21,42,91,75
519,Male,27,79,105,84
520,Female,27,84,98,65
521,Female,32,80,84,62
522,Male,36,49,81,55
523,Male,27,88,68,33
524,Female,28,63,70,44
525,Male,21,41,105,86
526,Male,30,40,101,79
527,Female,33,81,60,31
528,Female,23,68,65,46
529,Female,34,58,74,47
530,Female,32,51,93,76
531,Female,36,86,57,33
532,Male,31,43,87,65
533,Female,19,85,64,43
534,Male,39,55,68,49
535,Male,26,44,92,71
536,Female,25,49,53,36
537,Male,20,85,66,45
538,Male,39,74,108,78
539,Male,36,47,95,75
540,Female,36,61,95,78
541,Male,35,76,100,74
542,Male,40,56,83,62
543,Male,27,47,82,57
544,Male,34,40,76,55
545,Female,32,62,98,72
546,Female,39,65,71,50
547,Male,19,51,94,82
548,Male,20,94,114,86
549,Female,34,92,88,58
550,Male,36,65,109,78
551,Male,24,77,73,42
552,Male,30,40,91,78
553,Female,35,47,55,34
554,Male,28,54,50,30
555,Female,33,94,104,68
556,Male,20,89,103,76
557,Female,38,66,69,43
558,Female,25,76,99,81
559,Male,25,79,63,34
560,Male,27,54,93,79
561,Male,36,77,59,31
562,Female,39,78,79,58
563,Female,36,83,84,50
564,Male,25,75,56,31
565,Female,38,86,107,84
566,Female,30,75,92,60
567,Male,31,63,67,43
568,Female,26,44,88,64
569,Female,32,88,76,48
570,Female,28,83,55,33
571,Female,24,84,73,53
572,Female,33,82,99,66
573,Male,24,53,94,77
574,Female,24,54,113,89
575,Male,34,69,95,66
576,Female,20,46,80,58
577,Female,36,57,60,44
578,Female,36,58,87,67
579,Female,29,66,76,50
580,Female,39,51,106,84
581,Male,31,93,73,44
582,Male,19,67,106,78
583,Male,39,52,71,54
584,Female,33,84,73,38
585,Male,32,70,99,70
586,Female,21,83,86,63
587,Female,37,80,123,89
588,Female,39,76,102,75
589,Male,22,54,97,83
590,Female,39,65,90,73
591,Female,29,73,82,63
592,Male,23,59,102,75
593,Female,30,83,67,46
594,Female,39,63,101,78
595,Female,34,51,92,70
596,Female,26,71,71,40
597,Male,25,57,54,32
598,Male,39,46,73,52
599,Male,29,51,79,62
600,Male,31,88,114,81
601,Female,21,67,95,65
602,Male,21,81,71,42
603,Male,36,47,80,61
604,Female,40,45,91,64
605,Female,30,76,63,35
606,Male,31,53,66,49
607,Female,23,46,76,59
608,Female,20,44,91,79
609,Female,37,50,61,40
610,Male,26,49,108,87
611,Male,39,82,75,51
612,Male,35,50,64,41
613,Female,25,48,50,30
614,Male,28,64,115,89
615,Male,25,83,69,45
616,Female,22,63,57,36
617,Female,35,56,77,62
618,Female,28,91,111,79
619,Female,25,63,60,33
620,Female,30,47,95,76
621,Male,27,80,65,40
622,Male,19,64,61,36
623,Male,37,48,108,85
624,Female,32,57,95,78
625,Male,40,84,93,58
626,Female,29,93,73,47
627,Male,21,54,64,37
628,Male,33,76,65,35
629,Female,21,71,101,81
630,Female,31,74,116,85
631,Female,31,44,90,68
632,Female,25,69,83,65
633,Female,39,80,108,80
634,Male,39,77,110,86
635,Male,40,42,70,48
636,Female,30,62,70,44
637,Female,24,93,82,58
638,Male,32,81,119,86
639,Female,29,78,81,52
640,Female,26,76,100,70
641,Male,22,72,95,64
642,Male,32,69,68,49
643,Female,31,46,94,70
644,Male,39,86,58,34
645,Female,38,67,49,32
646,Female,28,65,71,49
647,Female,40,41,71,46
648,Female,31,89,71,45
649,Female,28,49,65,39
650,Male,39,82,89,61
651,Male,31,89,100,73
652,Male,36,91,79,52
653,Female,35,82,65,31
654,Female,36,79,89,61
655,Female,34,54,80,65
656,Male,30,42,90,67
657,Male,36,44,82,56
658,Female,26,85,90,65
659,Male,33,88,83,48
660,Male,29,67,85,68
661,Female,21,57,79,57
662,Male,37,89,118,84
663,Female,34,67,74,55
664,Male,20,55,75,49
665,Female,34,45,74,48
666,Male,20,57,83,58
667,Female,23,83,81,54
668,Female,39,93,92,59
669,Female,29,81,99,79
670,Male,21,51,61,41
671,Female,24,49,61,35
672,Female,26,47,85,65
673,Female,37,93,103,76
674,Male,19,89,79,58
675,Female,39,92,53,30
676,Male,36,76,92,60
677,Female,38,76,83,62
678,Male,25,53,61,43
679,Female,37,86,91,64
680,Female,34,79,94,67
681,Male,29,70,73,52
682,Male,26,41,49,36
683,Male,35,65,102,80
684,Male,30,87,81,55
685,Female,36,83,94,68
686,Male,25,67,99,76
687,Female,27,78,100,80
688,Female,33,43,81,65
689,Female,31,77,88,55
690,Male,35,66,69,47
691,Female,22,71,98,79
692,Female,20,42,98,84
693,Male,34,43,94,82
694,Male,24,50,53,39
695,Female,19,93,113,86
696,Male,23,64,101,85
697,Female,39,67,103,74
698,Female,29,68,111,89
699,Female,37,46,62,40
700,Female,27,92,106,81
701,Female,22,78,98,66
702,Male,30,89,82,58
703,Male,22,63,62,41
704,Male,31,59,100,72
705,Female,23,65,61,37
706,Female,39,88,85,57
707,Male,28,55,94,69
708,Female,23,77,85,57
709,Male,27,59,115,86
710,Female,39,75,77,46
711,Male,39,70,116,86
712,Male,32,84,110,79
713,Male,36,73,97,75
714,Male,39,62,75,54
715,Female,29,69,91,72
716,Male,38,53,74,45
717,Male,33,44,61,48
718,Male,39,51,101,76
719,Female,37,60,114,85
720,Female,27,60,72,45
721,Female,26,67,81,51
722,Male,31,84,61,35
723,Female,26,69,58,30
724,Female,27,72,106,77
725,Male,19,67,50,33
726,Male,23,85,87,64
727,Male,22,47,100,77
728,Male,30,63,97,79
729,Female,38,64,70,42
730,Female,24,92,99,69
731,Female,29,43,68,51
732,Female,33,68,71,50
733,Male,34,73,89,64
734,Male,29,61,92,70
735,Male,20,67,109,86
736,Male,24,80,49,30
737,Female,35,58,82,63
738,Male,19,45,92,79
739,Male,34,48,104,84
740,Male,22,77,77,49
741,Female,35,92,90,63
742,Male,25,76,68,42
743,Female,31,56,107,87
744,Male,23,51,56,38
745,Female,30,73,105,80
746,Male,21,70,63,40
747,Male,37,46,86,59
748,Female,20,43,65,44
749,Female,40,77,116,87
750,Male,20,75,96,77
751,Female,30,71,97,79
752,Male,39,64,71,48
753,Male,20,79,62,40
754,Male,19,94,98,66
755,Female,39,65,107,80
756,Male,27,76,108,88
757,Female,33,71,66,37
758,Female,37,74,90,63
759,Male,22,46,79,56
760,Female,21,62,84,67
761,Male,29,49,83,57
762,Female,23,82,59,31
763,Male,27,51,89,64
764,Female,23,73,108,82
765,Male,36,67,105,73
766,Male,26,89,61,35
767,Female,30,85,100,71
768,Female,32,88,76,47
769,Female,40,55,79,50
770,Female,38,76,80,60
771,Female,27,44,68,48
772,Male,38,72,57,38
773,Female,23,48,72,53
774,Male,22,40,81,66
775,Male,37,40,60,40
776,Female,26,93,108,78
777,Female,23,63,61,38
778,Male,23,81,99,75
779,Female,19,92,91,69
780,Male,20,40,93,78
781,Male,24,54,75,57
782,Male,20,74,80,56
783,Female,40,53,75,57
784,Female,26,75,96,72
785,Female,22,54,60,42
786,Female,31,66,75,53
787,Female,32,59,86,68
788,Female,36,80,70,49
789,Male,23,68,71,51
790,Male,26,68,74,52
791,Male,24,68,70,51
792,Female,27,85,57,33
793,Male,30,88,81,53
794,Male,24,57,83,56
795,Male,39,41,93,69
796,Male,25,46,99,86
797,Female,22,57,74,49
798,Female,36,61,98,72
799,Male,33,74,62,42
800,Female,35,62,53,32
801,Male,28,47,84,71
802,Female,34,91,91,55
803,Female,24,53,100,86
804,Female,19,86,108,76
805,Male,33,73,69,39
806,Female,40,62,60,37
807,Female,31,94,116,87
808,Male,40,80,90,63
809,Female,34,42,59,44
810,Female,39,46,98,71
811,Female,37,56,59,43
812,Female,38,75,104,82
813,Male,26,65,92,75
814,Male,29,80,86,54
815,Female,20,76,102,77
816,Female,27,61,52,32
817,Male,21,93,80,46
818,Female,38,57,76,58
819,Female,29,50,87,73
820,Male,19,85,58,30
821,Male,20,80,90,67
822,Male,37,91,65,41
823,Female,21,45,106,86
824,Male,32,63,57,37
825,Female,26,75,81,60
826,Male,39,70,89,57
827,Female,38,71,89,63
828,Female,33,78,89,68
829,Male,27,73,81,63
830,Female,36,71,71,38
831,Female,28,54,56,40
832,Male,35,93,89,52
833,Male,29,43,84,64
834,Male,33,48,81,66
835,Male,32,93,64,36
836,Female,33,91,70,37
837,Male,39,88,86,62
838,Male,40,87,94,63
839,Female,24,66,85,67
840,Male,39,90,88,56
841,Female,40,53,103,74
842,Female,29,64,91,64
843,Male,39,63,79,52
844,Male,35,43,82,62
845,Female,40,90,61,33
846,Male,32,74,73,47
847,Male,24,92,67,34
848,Male,40,80,93,70
849,Female,25,42,92,80
850,Female,31,90,61,34
851,Female,26,55,66,41
852,Female,34,60,95,69
853,Female,37,84,84,60
854,Female,38,93,99,72
855,Female,30,57,75,49
856,Female,24,88,87,55
857,Female,30,54,53,33
858,Male,29,67,101,80
859,Male,25,42,73,48
860,Female,38,55,62,41
861,Female,20,42,82,60
862,Male,35,50,99,77
863,Female,30,93,83,46
864,Female,21,85,55,34
865,Male,28,55,61,41
866,Male,26,42,107,82
867,Female,38,42,81,61
868,Male,40,78,81,49
869,Male,39,59,79,51
870,Female,28,49,56,40
871,Female,29,50,73,60
872,Female,39,54,96,77
873,Female,26,41,58,34
874,Female,29,65,67,47
875,Male,29,57,99,80
876,Male,36,45,57,34
877,Female,26,83,100,78
878,Male,38,65,118,87
879,Female,32,82,56,35
880,Female,38,88,87,58
881,Male,19,71,103,83
882,Male,20,94,103,72
883,Male,29,48,56,32
884,Male,19,68,53,30
885,Female,22,69,74,49
886,Male,23,71,66,44
887,Female,35,64,60,39
888,Male,36,49,59,38
889,Male,35,63,72,42
890,Male,28,69,83,65
891,Male,19,70,92,76
892,Female,28,88,71,37
893,Female,35,75,64,32
894,Male,26,90,67,40
895,Male,31,74,100,79
896,Female,30,42,98,75
897,Male,21,81,69,36
898,Female,31,40,70,53
899,Male,32,62,103,76
900,Female,37,44,59,41
901,Female,36,92,78,51
902,Female,27,44,48,35
903,Male,24,47,60,44
904,Female,26,79,67,35
905,Female,38,44,75,52
906,Female,37,88,105,81
907,Male,23,93,84,55
908,Male,36,84,102,72
909,Male,33,48,53,38
910,Male,25,67,61,33
911,Female,35,81,107,82
912,Male,30,52,100,81
913,Male,38,65,116,86
914,Female,37,85,112,86
915,Male,29,42,76,57
916,Male,37,54,80,58
917,Female,40,91,95,62
918,Female,25,44,81,65
919,Male,20,67,75,58
920,Male,28,53,92,75
921,Female,34,52,83,55
922,Male,24,86,66,45
923,Male,26,62,61,37
924,Female,37,53,112,86
925,Female,35,79,77,50
926,Male,33,88,98,64
927,Female,21,67,92,62
928,Female,25,90,100,68
929,Female,37,88,75,43
930,Male,37,93,76,51
931,Male,40,66,78,60
932,Male,24,67,103,75
933,Male,35,48,70,51
934,Female,22,55,87,66
935,Female,24,74,105,80
936,Female,27,93,76,42
937,Male,31,67,58,41
938,Male,29,72,105,85
939,Female,31,48,67,54
940,Female,30,54,83,62
941,Male,20,44,61,42
942,Female,21,79,57,38
943,Female,27,64,48,31
944,Female,36,78,100,75
945,Female,34,56,95,70
946,Male,32,63,92,62
947,Female,40,48,105,88
948,Female,21,40,53,32
949,Male,37,90,60,35
950,Female,29,46,76,61
951,Female,22,73,63,42
952,Male,20,87,62,38
953,Female,34,76,92,69
954,Female,25,57,49,31
955,Male,22,57,103,87
956,Male,35,58,63,46
957,Male,27,81,95,74
958,Female,34,92,97,74
959,Male,23,63,69,40
960,Female,19,80,101,81
961,Female,40,69,115,85
962,Female,28,72,73,43
963,Male,31,72,84,58
964,Female,22,52,71,56
965,Male,19,69,56,37
966,Male,24,56,64,42
967,Female,33,48,108,83
968,Male,38,82,59,31
969,Female,36,77,105,76
970,Male,21,80,99,72
971,Male,39,66,103,74
972,Female,34,93,67,37
973,Male,25,92,86,56
974,Male,27,73,71,46
975,Male,30,58,76,56
976,Male,23,45,61,38
977,Male,25,53,78,62
978,Male,21,89,105,74
979,Male,31,65,71,50
980,Female,29,55,65,38
981,Male,39,87,104,77
982,Male,29,78,107,74
983,Female,28,45,56,35
984,Male,28,80,76,47
985,Female,19,94,81,53
986,Female,29,59,76,56
987,Female,34,80,97,76
988,Male,40,50,91,70
989,Male,24,77,54,31
990,Male,27,57,67,45
991,Male,21,94,78,46
992,Male,20,87,71,49
993,Female,28,70,69,51
994,Female,33,86,86,65
995,Female,39,45,82,57
996,Female,35,82,98,76
997,Male,21,46,69,49
998,Male,35,63,115,89
999,Male,22,86,81,57
